season_id,title,score,eps,area,status,season_type
124921,咔咔历险记 第1季,0.0,52,中国,全52话,国创
39799,鸽子,0.0,0,中国,1960年11月9日上映,国创
47654,飞龙天降,0.0,13,中国,全13话,国创
72736,托宝战士之银河侦探 第4季,0.0,26,中国,全26话,国创
46507,猪猪侠之益智课堂5,0.0,30,中国,全30话,国创
72584,奇特工程车 第1季,0.0,20,中国,全20话,国创
124961,新大头儿子和小头爸爸 带你看中国 第2季,0.0,40,中国,全40话,国创
44912,卡卡虎大冒险 第三季,0.0,26,中国,全26话,国创
123519,皮皮鲁安全特工队 第三季,0.0,13,中国,全13话,国创
39938,湖上歌舞,0.0,0,中国,1964年1月1日上映,国创
72567,奇奇妙妙博物馆,0.0,24,中国,全24话,国创
43794,欢乐之城5,0.0,52,中国,全52话,国创
40474,火星娃健康成长,0.0,52,中国,全52话,国创
38428,云龙传奇之九龙战记,0.0,26,中国,全26话,国创
72730,奇趣特工队之超时空奇兵 第1季,0.0,20,中国,全20话,国创
46580,年,0.0,0,中国,2023年11月10日上映,国创
39891,特工兔之神秘的网站,0.0,20,中国,全20话,国创
35885,路边新事,0.0,0,中国,1964年1月1日上映,国创
38136,老鼠笔记之探秘城市,0.0,500,中国,全500话,国创
72735,托宝战士之银河侦探 第3季,0.0,20,中国,全20话,国创
43787,阿古顿巴的故事 第一季,0.0,26,中国,全26话,国创
46840,哈哈熊童话世界之奇妙画室,0.0,35,中国,全35话,国创
46861,变形联盟之勇士崛起,0.0,30,中国,全30话,国创
45390,每天朝山顶推一秒的石头,0.0,0,中国,2023年6月10日上映,国创
44250,巧手鲁班 第一季,0.0,208,中国,全208话,国创
46505,百变校巴之太空日记1,0.0,30,中国,全30话,国创
47001,出动吧！龙宝小英雄,0.0,26,中国,全26话,国创
43578,金刚山猫侠,0.0,52,中国,全52话,国创
38216,巢湖漫游记,0.0,26,中国,全26话,国创
39911,亚博和温丽的疑问,0.0,26,中国,全26话,国创
44407,喜多多与乖宝宝,2.7,60,中国,全60话,国创
102864,相亲式修真道侣 动态漫,0.0,25,中国,更新至第25话,国创
45730,小鹿蓝蓝,0.0,88,中国,全88话,国创
124452,卫浴也疯狂,0.0,30,中国,全30话,国创
44360,超能记忆小精灵,0.0,12,中国,全12话,国创
40799,榜样,0.0,56,中国,全56话,国创
46860,变形联盟之超限突破,0.0,26,中国,全26话,国创
123547,托宝战士之银河侦探 第6季,0.0,32,中国,全32话,国创
46996,托宝战士之热血再燃,0.0,40,中国,全40话,国创
44370,大运河奇缘2,0.0,6,中国,全6话,国创
72553,儿童小百科,0.0,52,中国,全52话,国创
72564,杰米熊之神话图卷,0.0,52,中国,全52话,国创
46923,百变布鲁可之欢乐小镇,0.0,18,中国,全18话,国创
44279,生肖宝贝,0.0,26,中国,全26话,国创
46992,百变雄师 第四季,0.0,20,中国,全20话,国创
46991,百变雄师 第三季,0.0,52,中国,全52话,国创
48594,小小知道之恐龙世界大冒险,0.0,30,中国,全30话,国创
72755,托宝战士之银河侦探 第2季,0.0,26,中国,全26话,国创
44254,幸福岛的小伙伴,0.0,52,中国,全52话,国创
123461,百变校巴17,0.0,13,中国,全13话,国创
72731,奇趣特工队之超时空奇兵 第2季,0.0,20,中国,全20话,国创
72928,魔法可可,0.0,26,中国,全26话,国创
46743,语文趣世界,0.0,28,中国,全28话,国创
39915,奇趣大世界,0.0,90,中国,全90话,国创
123518,皮皮鲁安全特工队 第二季,0.0,13,中国,更新至第13话,国创
72723,梦幻乐园奇遇记,0.0,1,中国,全1话,国创
72738,龙宝小英雄 第2季,0.0,26,中国,全26话,国创
126915,神兽金刚之超变星甲精华版,0.0,46,中国,全46话,国创
36041,砍柴姑娘,0.0,0,中国,1960年1月1日上映,国创
47649,小草帽,0.0,26,中国,全26话,国创
126441,爱心密码,0.0,30,中国,全30话,国创
46846,金色童年亲子动画绘本之豆豆成长记,0.0,6,中国,全6话,国创
46723,跳跳鱼世界 第六季,0.0,26,中国,全26话,国创
40087,小鼠乒乒之欢乐无限,0.0,26,中国,全26话,国创
126418,百变布鲁可 第4季,0.0,20,中国,全20话,国创
40202,怪物公寓之友情篇章,0.0,11,中国,全11话,国创
46974,阿优的日常,0.0,5,中国,全5话,国创
35708,小哥儿俩,0.0,0,中国,1965年1月1日上映,国创
124985,哈哈!地球人 第1季,0.0,26,中国,全26话,国创
72908,中华优秀传统文化系列动画片之中医药的故事,0.0,20,中国,全20话,国创
124562,百变马丁我爱古诗词 第1季,0.0,18,中国,全18话,国创
46995,托宝战士之顶峰对决,0.0,20,中国,全20话,国创
44409,旺旺成长记,0.0,100,中国,全100话,国创
126416,百变布鲁可 第2季,0.0,20,中国,全20话,国创
35918,大奖章,0.0,0,中国,1960年1月1日上映,国创
44241,玩具之家,0.0,100,中国,全100话,国创
72922,星原小宝之奇妙探索,0.0,60,中国,全60话,国创
46823,黑云国历险记,3.3,19,中国,全19话,国创
36193,猴龟分树,0.0,0,中国,1959年1月1日上映,国创
43926,歪歪兔行为习惯系列动画片,0.0,10,中国,全10话,国创
40122,阿古顿巴,0.0,26,中国,全26话,国创
46811,快乐小郑星,0.0,52,中国,全52话,国创
46843,神奇智慧岛,0.0,16,中国,全16话,国创
48672,星星班长 第二季,0.0,24,中国,全24话,国创
39844,一棵大白菜,0.0,0,中国,1961年1月1日上映,国创
46976,北斗领航梦想,0.0,11,中国,全11话,国创
44331,小豆派派亲子园之情景认字,0.0,78,中国,全78话,国创
46863,旗旗号巡洋舰 第一季,0.0,26,中国,全26话,国创
46500,逗逗迪迪爱唱歌 第2季,0.0,68,中国,全68话,国创
102872,圣尊助理的我已经无敌了 动态漫,0.0,25,中国,更新至第25话,国创
38504,我要回家 第二季,0.0,26,中国,全26话,国创
123512,百变校巴之奇妙大自然4,0.0,26,中国,全26话,国创
47031,非常小子马鸣加 第二季,0.0,52,中国,全52话,国创
38263,宝贝疙瘩丁呱呱,0.0,52,中国,全52话,国创
72915,超元绝战之传说卡,0.0,26,中国,全26话,国创
46709,三国典故 第一季,0.0,26,中国,全26话,国创
39082,开心1刻,0.0,120,中国,全120话,国创
44323,我们的朋友熊小米(英文版）,0.0,52,中国,全52话,国创
126470,猛兽战警,0.0,30,中国,全30话,国创
46845,金色童年亲子动画绘本之卷卷成长记,0.0,6,中国,全6话,国创
